#Derived from "CCLE_sample_info_file_2012-10-18.txt"
#sampleId	subjectId	cellLineOrigin
KYSE270_OESOPHAGUS	KYSE-270	DSMZ
KYSE30_OESOPHAGUS	KYSE-30	DSMZ
KYSE410_OESOPHAGUS	KYSE-410	DSMZ
KYSE450_OESOPHAGUS	KYSE-450	DSMZ
KYSE510_OESOPHAGUS	KYSE-510	DSMZ
KYSE520_OESOPHAGUS	KYSE-520	DSMZ
KYSE70_OESOPHAGUS	KYSE-70	DSMZ
L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	L-1236	DSMZ
L33_PANCREAS	L3.3	Academic Lab
L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	L-363	DSMZ
L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	L-428	DSMZ
L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	L-540	DSMZ
LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	LAMA-84	DSMZ
LC1F_LUNG	LC-1F	RIKEN
LC1SQSF_LUNG	LC-1/sq-SF	RIKEN
LCLC103H_LUNG	LCLC-103H	DSMZ
LCLC97TM1_LUNG	LCLC-97TM1	DSMZ
LI7_LIVER	Li-7	RIKEN
LK2_LUNG	LK-2	RIKEN
LMSU_STOMACH	LMSU	RIKEN
LN18_CENTRAL_NERVOUS_SYSTEM	LN-18	ATCC
LN215_CENTRAL_NERVOUS_SYSTEM	LN-215	Academic Lab / Achilles
LN229_CENTRAL_NERVOUS_SYSTEM	LN-229	ATCC
LN235_CENTRAL_NERVOUS_SYSTEM	LN-235	Academic Lab / Achilles
LN319_CENTRAL_NERVOUS_SYSTEM	LN-319	Academic Lab / Achilles
LN340_CENTRAL_NERVOUS_SYSTEM	LN-340	Academic Lab / Achilles
LN382_CENTRAL_NERVOUS_SYSTEM	LN382	Academic Lab / Achilles
LN428_CENTRAL_NERVOUS_SYSTEM	LN-428	Academic Lab / Achilles
LN443_CENTRAL_NERVOUS_SYSTEM	LN-443	Academic Lab / Achilles
LN464_CENTRAL_NERVOUS_SYSTEM	LN-464	Academic Lab / Achilles
LNCAPCLONEFGC_PROSTATE	LNCaP clone FGC	ATCC
LNZ308_CENTRAL_NERVOUS_SYSTEM	LNZ308	Academic Lab / Achilles
LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Loucy	ATCC
LOUNH91_LUNG	LOU-NH91	DSMZ
LOVO_LARGE_INTESTINE	LoVo	ATCC
LOXIMVI_SKIN	LOX IMVI	NCI/DCTD
LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	LP-1	DSMZ
LS1034_LARGE_INTESTINE	LS1034	ATCC
LS123_LARGE_INTESTINE	LS123	ATCC
LS180_LARGE_INTESTINE	LS 180	ATCC
LS411N_LARGE_INTESTINE	LS411N	ATCC
LS513_LARGE_INTESTINE	LS513	ATCC
LU65_LUNG	LU65	HSRRB
LU99_LUNG	LU99	HSRRB
LUDLU1_LUNG	LUDLU-1	ECACC
LXF289_LUNG	LXF-289	DSMZ
M059K_CENTRAL_NERVOUS_SYSTEM	M059K	ATCC
M07E_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	M-07e	DSMZ
MALME3M_SKIN	Malme-3M	ATCC
MB157_BREAST	MB 157	ATCC
MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MC116	ATCC
MCAS_OVARY	MCAS	HSRRB
MCF7_BREAST	MCF7	ATCC
MDAMB134VI_BREAST	MDA-MB-134-VI	ATCC
MDAMB157_BREAST	MDA-MB-157	ATCC
MDAMB175VII_BREAST	MDA-MB-175-VII	ATCC
MDAMB231_BREAST	MDA-MB-231	ATCC
MDAMB361_BREAST	MDA-MB-361	ATCC
MDAMB415_BREAST	MDA-MB-415	ATCC
MDAMB435S_SKIN	MDA-MB-435S	ATCC
MDAMB436_BREAST	MDA-MB-436	ATCC
MDAMB453_BREAST	MDA-MB-453	ATCC
MDAMB468_BREAST	MDA-MB-468	ATCC
MDAPCA2B_PROSTATE	MDA PCa 2b	ATCC
MDST8_LARGE_INTESTINE	MDST8	ECACC
ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ME-1	DSMZ
MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MEC-1	DSMZ
MEC2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MEC-2	DSMZ
MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MEG-01	ATCC
MELHO_SKIN	MEL-HO	DSMZ
MELJUSO_SKIN	MEL-JUSO	DSMZ
MESSA_SOFT_TISSUE	MES-SA	ATCC
MEWO_SKIN	MeWo	ATCC
MFE280_ENDOMETRIUM	MFE-280	DSMZ
MFE296_ENDOMETRIUM	MFE-296	DSMZ
MFE319_ENDOMETRIUM	MFE-319	DSMZ
MG63_BONE	MG-63	ATCC
MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MHH-CALL-2	DSMZ
MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MHH-CALL-3	DSMZ
MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MHH-CALL-4	DSMZ
MHHES1_BONE	MHH-ES-1	DSMZ
MHHNB11_AUTONOMIC_GANGLIA	MHH-NB-11	DSMZ
MIAPACA2_PANCREAS	MIA PaCa-2	ATCC
MINO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Mino	ATCC
MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MJ	ATCC
MKN1_STOMACH	MKN1	HSRRB
MKN45_STOMACH	MKN-45	HSRRB
MKN74_STOMACH	MKN74	HSRRB
MKN7_STOMACH	MKN7	RIKEN
ML1_THYROID	ML-1	DSMZ
MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MM1-S	Academic Lab
MOGGCCM_CENTRAL_NERVOUS_SYSTEM	MOG-G-CCM	ECACC
MOGGUVW_CENTRAL_NERVOUS_SYSTEM	MOG-G-UVW	ECACC
MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLM-13	DSMZ
MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLM-16	DSMZ
MOLM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLM-6	DSMZ
MOLP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLP-2	DSMZ
MOLP8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLP-8	DSMZ
MOLT13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLT-13	DSMZ
MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLT-16	DSMZ
MOLT4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLT-4	ATCC
MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MONO-MAC-1	DSMZ
MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MONO-MAC-6	DSMZ
MORCPR_LUNG	MOR/CPR	ECACC
MOTN1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOTN-1	DSMZ
MPP89_PLEURA	MPP 89	ICLC
MSTO211H_PLEURA	MSTO-211H	ATCC
MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MUTZ-3	DSMZ
MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MUTZ-5	DSMZ
MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MV-4-11	ATCC
NALM19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NALM-19	DSMZ
NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NALM-1	DSMZ
NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NALM-6	DSMZ
NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NAMALWA	ATCC
NB1_AUTONOMIC_GANGLIA	NB-1	HSRRB
NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NB-4	DSMZ
NCCSTCK140_STOMACH	NCC-StC-K140	RIKEN
NCIH1048_LUNG	NCI-H1048	ATCC
NCIH1092_LUNG	NCI-H1092	ATCC
NCIH1105_LUNG	NCI-H1105	ATCC
NCIH1155_LUNG	NCI-H1155	ATCC
NCIH1184_LUNG	NCI-H1184	ATCC
NCIH1299_LUNG	NCI-H1299	ATCC
NCIH1339_LUNG	NCI-H1339	ATCC
NCIH1341_LUNG	NCI-H1341	ATCC
NCIH1355_LUNG	NCI-H1355	ATCC
NCIH1373_LUNG	NCI-H1373	ATCC
NCIH1385_LUNG	NCI-H1385	ATCC
NCIH1395_LUNG	NCI-H1395	ATCC
NCIH1435_LUNG	NCI-H1435	ATCC
NCIH1436_LUNG	NCI-H1436	ATCC
NCIH1437_LUNG	NCI-H1437	ATCC
NCIH146_LUNG	NCI-H146	ATCC
NCIH1563_LUNG	NCI-H1563	ATCC
NCIH1568_LUNG	NCI-H1568	ATCC
NCIH1573_LUNG	NCI-H1573	ATCC
NCIH1581_LUNG	NCI-H1581	ATCC
NCIH1618_LUNG	NCI-H1618	ATCC
NCIH1623_LUNG	NCI-H1623	ATCC
NCIH1648_LUNG	NCI-H1648	ATCC
NCIH1650_LUNG	NCI-H1650	ATCC
NCIH1651_LUNG	NCI-H1651	ATCC
NCIH1666_LUNG	NCI-H1666	ATCC
NCIH1693_LUNG	NCI-H1693	ATCC
NCIH1694_LUNG	NCI-H1694	ATCC
NCIH1703_LUNG	NCI-H1703	ATCC
NCIH1734_LUNG	NCI-H1734	ATCC
NCIH1755_LUNG	NCI-H1755	ATCC
NCIH1781_LUNG	NCI-H1781	ATCC
NCIH1792_LUNG	NCI-H1792	ATCC
NCIH1793_LUNG	NCI-H1793	ATCC
NCIH1836_LUNG	NCI-H1836	ATCC
NCIH1838_LUNG	NCI-H1838	ATCC
NCIH1869_LUNG	NCI-H1869	ATCC
NCIH1876_LUNG	NCI-H1876	ATCC
NCIH1915_LUNG	NCI-H1915	ATCC
NCIH1930_LUNG	NCI-H1930	ATCC
NCIH1944_LUNG	NCI-H1944	ATCC
NCIH1963_LUNG	NCI-H1963	ATCC
NCIH196_LUNG	NCI-H196	ATCC
NCIH1975_LUNG	NCI-H1975	ATCC
NCIH2009_LUNG	NCI-H2009	ATCC
NCIH2023_LUNG	NCI-H2023	ATCC
NCIH2029_LUNG	NCI-H2029	ATCC
NCIH2030_LUNG	NCI-H2030	ATCC
NCIH2052_PLEURA	NCI-H2052	ATCC
NCIH2066_LUNG	NCI-H2066	ATCC
NCIH2073_LUNG	NCI-H2073	ATCC
NCIH2081_LUNG	NCI-H2081	ATCC
NCIH2085_LUNG	NCI-H2085	ATCC
NCIH2087_LUNG	NCI-H2087	ATCC
NCIH209_LUNG	NCI-H209	ATCC
NCIH2106_LUNG	NCI-H2106	ATCC
NCIH2110_LUNG	NCI-H2110	ATCC
NCIH211_LUNG	NCI-H211	ATCC
NCIH2122_LUNG	NCI-H2122	ATCC
NCIH2126_LUNG	NCI-H2126	ATCC
NCIH2141_LUNG	NCI-H2141	ATCC
NCIH2170_LUNG	NCI-H2170	ATCC
NCIH2171_LUNG	NCI-H2171	ATCC
NCIH2172_LUNG	NCI-H2172	ATCC
NCIH2196_LUNG	NCI-H2196	ATCC
NCIH2227_LUNG	NCI-H2227	ATCC
NCIH2228_LUNG	NCI-H2228	ATCC
NCIH226_LUNG	NCI-H226	ATCC
NCIH2286_LUNG	NCI-H2286	ATCC
NCIH2291_LUNG	NCI-H2291	ATCC
NCIH2342_LUNG	NCI-H2342	ATCC
NCIH2347_LUNG	NCI-H2347	ATCC
NCIH23_LUNG	NCI-H23	ATCC
NCIH2405_LUNG	NCI-H2405	ATCC
NCIH2444_LUNG	NCI-H2444	ATCC
NCIH2452_PLEURA	NCI-H2452	ATCC
NCIH28_PLEURA	NCI-H28	ATCC
NCIH292_LUNG	NCI-H292	ATCC
NCIH322_LUNG	NCI-H322	ECACC
NCIH3255_LUNG	NCI-H3255	Academic Lab
NCIH358_LUNG	NCI-H358	ATCC
NCIH441_LUNG	NCI-H441	ATCC
NCIH446_LUNG	NCI-H446	ATCC
NCIH460_LUNG	NCI-H460	ATCC
NCIH508_LARGE_INTESTINE	NCI-H508	ATCC
NCIH510_LUNG	NCI-H510	ATCC
NCIH520_LUNG	NCI-H520	ATCC
NCIH522_LUNG	NCI-H522	ATCC
NCIH524_LUNG	NCI-H524	ATCC
NCIH526_LUNG	NCI-H526	ATCC
NCIH596_LUNG	NCI-H596	ATCC
NCIH647_LUNG	NCI-H647	ATCC
NCIH650_LUNG	NCI-H650	ATCC
NCIH660_PROSTATE	NCI-H660	ATCC
NCIH661_LUNG	NCI-H661	ATCC
NCIH684_LIVER	NCI-H684	KCLB
NCIH69_LUNG	NCI-H69	ATCC
NCIH716_LARGE_INTESTINE	NCI-H716	ATCC
NCIH727_LUNG	NCI-H727	ATCC
NCIH747_LARGE_INTESTINE	NCI-H747	ATCC
NCIH810_LUNG	NCI-H810	ATCC
NCIH82_LUNG	NCI-H82	ATCC
NCIH838_LUNG	NCI-H838	ATCC
NCIH841_LUNG	NCI-H841	ATCC
NCIH854_LUNG	NCI-H854	KCLB
NCIH889_LUNG	NCI-H889	ATCC
NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NCI-H929	ATCC
NCIN87_STOMACH	NCI-N87	ATCC
NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NCO2	HSRRB
NH6_AUTONOMIC_GANGLIA	NH-6	HSRRB
NIHOVCAR3_OVARY	NIH:OVCAR-3	ATCC
NMCG1_CENTRAL_NERVOUS_SYSTEM	NMC-G1	HSRRB
NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NOMO-1	HSRRB
NUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NU-DHL-1	DSMZ
NUDUL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NU-DUL-1	DSMZ
NUGC2_STOMACH	NUGC-2	HSRRB
NUGC3_STOMACH	NUGC-3	HSRRB
NUGC4_STOMACH	NUGC-4	RIKEN
OAW28_OVARY	OAW28	ECACC
OAW42_OVARY	OAW42	ECACC
OC314_OVARY	OC 314	ICLC
OC315_OVARY	OC 315	ICLC
OC316_OVARY	OC 316	ICLC
OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCI-AML2	DSMZ
OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCI-AML3	DSMZ
OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCI-AML5	DSMZ
OCILY10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCI-LY10	Academic Lab
OCILY19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCI-LY-19	DSMZ
OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCI-LY3	Academic Lab
OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCI-M1	DSMZ
OCUM1_STOMACH	OCUM-1	HSRRB
OE19_OESOPHAGUS	OE19	ECACC
OE21_OESOPHAGUS	OE21	ECACC
OE33_OESOPHAGUS	OE33	ECACC
OELE_OVARY	OELE	Academic Lab / Achilles
ONCODG1_OVARY	ONCO-DG-1	DSMZ
ONS76_CENTRAL_NERVOUS_SYSTEM	ONS-76	HSRRB
OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OPM-2	DSMZ
OSRC2_KIDNEY	OS-RC-2	RIKEN
OUMS23_LARGE_INTESTINE	OUMS-23	HSRRB
OUMS27_BONE	OUMS-27	HSRRB
OV56_OVARY	OV56	ECACC
OV7_OVARY	OV7	ECACC
OV90_OVARY	OV-90	ATCC
OVCAR4_OVARY	OVCAR-4	NCI/DCTD
OVCAR8_OVARY	OVCAR-8	NCI/DCTD
OVISE_OVARY	OVISE	HSRRB
OVK18_OVARY	OVK18	RIKEN
OVKATE_OVARY	OVKATE	HSRRB
OVMANA_OVARY	OVMANA	HSRRB
OVSAHO_OVARY	OVSAHO	HSRRB
OVTOKO_OVARY	OVTOKO	HSRRB
P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	P12-ICHIKAWA	DSMZ
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	P31/FUJ	HSRRB
P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	P3HR-1	ATCC
PANC0203_PANCREAS	Panc 02.03	ATCC
PANC0213_PANCREAS	Panc 02.13	ATCC
PANC0327_PANCREAS	Panc 03.27	ATCC
PANC0403_PANCREAS	Panc 04.03	ATCC
PANC0504_PANCREAS	Panc 05.04	ATCC
PANC0813_PANCREAS	Panc 08.13	ATCC
PANC1005_PANCREAS	Panc 10.05	ATCC
PANC1_PANCREAS	PANC-1	ATCC
PATU8902_PANCREAS	PA-TU-8902	DSMZ
PATU8988S_PANCREAS	PA-TU-8988S	DSMZ
PATU8988T_PANCREAS	PA-TU-8988T	DSMZ
PC14_LUNG	PC-14	RIKEN
PC3_PROSTATE	PC-3	ATCC
PCM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PCM6	RIKEN
PECAPJ15_UPPER_AERODIGESTIVE_TRACT	PE/CA-PJ15	ECACC
PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT	PE/CA-PJ34 (clone C12)	ECACC
PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT	PE/CA-PJ41 (clone D2)	ECACC
PECAPJ49_UPPER_AERODIGESTIVE_TRACT	PE/CA-PJ49	ECACC
PEER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PEER	HSRRB
PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PF-382	DSMZ
PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Pfeiffer	ATCC
PK1_PANCREAS	PK-1	RIKEN
PK45H_PANCREAS	PK-45H	RIKEN
PK59_PANCREAS	PK-59	RIKEN
PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PL-21	DSMZ
PL45_PANCREAS	PL45	ATCC
PLCPRF5_LIVER	PLC/PRF/5	ATCC
PRECLH_PROSTATE	PrEC LH	Academic Lab / Achilles
PSN1_PANCREAS	PSN1	ECACC
QGP1_PANCREAS	QGP-1	HSRRB
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Raji	ATCC
RCC10RGB_KIDNEY	RCC10RGB	RIKEN
RCC4_KIDNEY	RCC-4	
RCHACV_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RCH-ACV	DSMZ
RCM1_LARGE_INTESTINE	RCM-1	HSRRB
RDES_BONE	RD-ES	ATCC
RD_SOFT_TISSUE	RD	ATCC
REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	REC-1	DSMZ
REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Reh	ATCC
RERFGC1B_STOMACH	RERF-GC-1B	HSRRB
RERFLCAD1_LUNG	RERF-LC-Ad1	HSRRB
RERFLCAD2_LUNG	RERF-LC-Ad2	HSRRB
RERFLCAI_LUNG	RERF-LC-AI	RIKEN
RERFLCKJ_LUNG	RERF-LC-KJ	HSRRB
RERFLCMS_LUNG	RERF-LC-MS	HSRRB
RERFLCSQ1_LUNG	RERF-LC-Sq1	HSRRB
RH18_SOFT_TISSUE	RH-18	DSMZ
RH30_SOFT_TISSUE	RH-30	DSMZ
RH41_SOFT_TISSUE	RH-41	DSMZ
RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RI-1	DSMZ
RKN_SOFT_TISSUE	RKN	HSRRB
RKO_LARGE_INTESTINE	RKO	ATCC
RL952_ENDOMETRIUM	RL95-2	ATCC
RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RL	ATCC
RMGI_OVARY	RMG-I	HSRRB
RMUGS_OVARY	RMUG-S	HSRRB
RPMI7951_SKIN	RPMI-7951	ATCC
RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RPMI 8226	ATCC
RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RPMI-8402	DSMZ
RS411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RS4;11	ATCC
RS5_PLEURA	RS-5	DSMZ
RT11284_URINARY_TRACT	RT112/84	ECACC
RT112_URINARY_TRACT	RT-112	DSMZ
RT4_URINARY_TRACT	RT4	ATCC
RVH421_SKIN	RVH-421	DSMZ
S117_SOFT_TISSUE	S-117	DSMZ
SALE_LUNG	SALE	Academic Lab / Achilles
SAOS2_BONE	Saos-2	ATCC
SBC5_LUNG	SBC-5	HSRRB
SCABER_URINARY_TRACT	SCaBER	ATCC
SCC15_UPPER_AERODIGESTIVE_TRACT	SCC-15	ATCC
SCC25_UPPER_AERODIGESTIVE_TRACT	SCC-25	ATCC
SCC4_UPPER_AERODIGESTIVE_TRACT	SCC-4	ATCC
SCC9_UPPER_AERODIGESTIVE_TRACT	SCC-9	ATCC
SCLC21H_LUNG	SCLC-21H	DSMZ
SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SEM	DSMZ
SET2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Set-2	DSMZ
SF126_CENTRAL_NERVOUS_SYSTEM	SF126	HSRRB
SF172_CENTRAL_NERVOUS_SYSTEM	SF-172	Academic Lab / Achilles
SF295_CENTRAL_NERVOUS_SYSTEM	SF-295	NCI/DCTD
SF767_CENTRAL_NERVOUS_SYSTEM	SF767	Academic Lab / Achilles
SH10TC_STOMACH	SH-10-TC	RIKEN
SH4_SKIN	SH-4	ATCC
SHP77_LUNG	SHP-77	ATCC
SHSY5Y_AUTONOMIC_GANGLIA	SH-SY5Y	ATCC
SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIG-M5	DSMZ
SIMA_AUTONOMIC_GANGLIA	SIMA	DSMZ
SJRH30_SOFT_TISSUE	SJRH30	ATCC
SJSA1_BONE	SJSA-1	ATCC
SKBR3_BREAST	SK-BR-3	ATCC
SKCO1_LARGE_INTESTINE	SK-CO-1	ATCC
SKES1_BONE	SK-ES-1	ATCC
SKHEP1_LIVER	SK-HEP-1	ATCC
SKLMS1_SOFT_TISSUE	SK-LMS-1	ATCC
SKLU1_LUNG	SK-LU-1	ATCC
SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SKM-1	HSRRB
SKMEL1_SKIN	SK-MEL-1	ATCC
SKMEL24_SKIN	SK-MEL-24	ATCC
SKMEL28_SKIN	SK-MEL-28	ATCC
SKMEL2_SKIN	SK-MEL-2	ATCC
SKMEL30_SKIN	SK-MEL-30	DSMZ
SKMEL31_SKIN	SK-MEL-31	ATCC
SKMEL3_SKIN	SK-MEL-3	ATCC
SKMEL5_SKIN	SK-MEL-5	ATCC
SKMES1_LUNG	SK-MES-1	ATCC
SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SK-MM-2	DSMZ
SKNAS_AUTONOMIC_GANGLIA	SK-N-AS	ATCC
SKNBE2_AUTONOMIC_GANGLIA	SK-N-BE(2)	ATCC
SKNDZ_AUTONOMIC_GANGLIA	SK-N-DZ	ATCC
SKNFI_AUTONOMIC_GANGLIA	SK-N-FI	ATCC
SKNMC_BONE	SK-N-MC	ATCC
SKNSH_AUTONOMIC_GANGLIA	SK-N-SH	ATCC
SKOV3_OVARY	SK-OV-3	ATCC
SKRC20_KIDNEY	SK-RC-20	Academic Lab / Achilles
SKRC31_KIDNEY	SK-RC 31	Academic Lab / Achilles
SKUT1_SOFT_TISSUE	SK-UT-1	ATCC
SLR20_KIDNEY	SLR 20	Academic Lab / Achilles
SLR21_KIDNEY	SLR 21	Academic Lab / Achilles
SLR23_KIDNEY	SLR 23	Academic Lab / Achilles
SLR24_KIDNEY	SLR 24	Academic Lab / Achilles
SLR25_KIDNEY	SLR 25	Academic Lab / Achilles
SLR26_KIDNEY	SLR 26	Academic Lab / Achilles
SNB19_CENTRAL_NERVOUS_SYSTEM	SNB-19	DSMZ
SNGM_ENDOMETRIUM	SNG-M	HSRRB
SNU1033_LARGE_INTESTINE	SNU-1033	KCLB
SNU1040_LARGE_INTESTINE	SNU-1040	KCLB
SNU1041_UPPER_AERODIGESTIVE_TRACT	SNU-1041	KCLB
SNU1066_UPPER_AERODIGESTIVE_TRACT	SNU-1066	KCLB
SNU1076_UPPER_AERODIGESTIVE_TRACT	SNU-1076	KCLB
SNU1077_ENDOMETRIUM	SNU-1077	KCLB
SNU1079_BILIARY_TRACT	SNU-1079	KCLB
SNU1105_CENTRAL_NERVOUS_SYSTEM	SNU-1105	KCLB
SNU1196_BILIARY_TRACT	SNU-1196	KCLB
SNU1197_LARGE_INTESTINE	SNU-1197	KCLB
SNU119_OVARY	SNU-119	KCLB
SNU1214_UPPER_AERODIGESTIVE_TRACT	SNU-1214	KCLB
SNU1272_KIDNEY	SNU-1272	KCLB
SNU16_STOMACH	SNU-16	ATCC
SNU175_LARGE_INTESTINE	SNU-175	KCLB
SNU182_LIVER	SNU-182	ATCC
SNU1_STOMACH	SNU-1	ATCC
SNU201_CENTRAL_NERVOUS_SYSTEM	SNU-201	KCLB
SNU213_PANCREAS	SNU-213	KCLB
SNU216_STOMACH	SNU-216	KCLB
SNU245_BILIARY_TRACT	SNU-245	KCLB
SNU283_LARGE_INTESTINE	SNU-283	KCLB
SNU308_BILIARY_TRACT	SNU-308	KCLB
SNU324_PANCREAS	SNU-324	KCLB
SNU349_KIDNEY	SNU-349	KCLB
SNU387_LIVER	SNU-387	ATCC
SNU398_LIVER	SNU-398	ATCC
SNU407_LARGE_INTESTINE	SNU-407	KCLB
SNU410_PANCREAS	SNU-410	KCLB
SNU423_LIVER	SNU-423	ATCC
SNU449_LIVER	SNU-449	ATCC
SNU466_CENTRAL_NERVOUS_SYSTEM	SNU-466	KCLB
SNU46_UPPER_AERODIGESTIVE_TRACT	SNU-46	KCLB
SNU475_LIVER	SNU-475	ATCC
SNU478_BILIARY_TRACT	SNU-478	KCLB
SNU489_CENTRAL_NERVOUS_SYSTEM	SNU-489	KCLB
SNU503_LARGE_INTESTINE	SNU-503	KCLB
SNU520_STOMACH	SNU-520	KCLB
SNU5_STOMACH	SNU-5	ATCC
SNU601_STOMACH	SNU-601	KCLB
SNU61_LARGE_INTESTINE	SNU-61	KCLB
SNU620_STOMACH	SNU-620	KCLB
SNU626_CENTRAL_NERVOUS_SYSTEM	SNU-626	KCLB
SNU668_STOMACH	SNU-668	KCLB
SNU685_ENDOMETRIUM	SNU-685	KCLB
SNU719_STOMACH	SNU-719	KCLB
SNU738_CENTRAL_NERVOUS_SYSTEM	SNU-738	KCLB
SNU761_LIVER	SNU-761	KCLB
SNU81_LARGE_INTESTINE	SNU-81	KCLB
SNU840_OVARY	SNU-840	KCLB
SNU869_BILIARY_TRACT	SNU-869	KCLB
SNU878_LIVER	SNU-878	KCLB
SNU886_LIVER	SNU-886	KCLB
SNU899_UPPER_AERODIGESTIVE_TRACT	SNU-899	KCLB
SNU8_OVARY	SNU-8	KCLB
SNUC1_LARGE_INTESTINE	SNU-C1	ATCC
SNUC2A_LARGE_INTESTINE	SNU-C2A	ATCC
SNUC4_LARGE_INTESTINE	SNU-C4	KCLB
SNUC5_LARGE_INTESTINE	SNU-C5	KCLB
SQ1_LUNG	Sq-1	RIKEN
SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SR-786	DSMZ
ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ST486	ATCC
SU8686_PANCREAS	SU.86.86	ATCC
