#Derived from "CCLE_sample_info_file_2012-10-18.txt"
#sampleId	subjectId	cellLineOrigin
CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMK-11-5	HSRRB
CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMK-86	HSRRB
CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMK	DSMZ
CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CML-T1	DSMZ
COLO201_LARGE_INTESTINE	COLO 201	ATCC
COLO205_LARGE_INTESTINE	COLO 205	ATCC
COLO320_LARGE_INTESTINE	COLO-320	DSMZ
COLO668_LUNG	COLO 668	ECACC
COLO677_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	COLO-677	DSMZ
COLO678_LARGE_INTESTINE	COLO-678	DSMZ
COLO679_SKIN	COLO-679	DSMZ
COLO680N_OESOPHAGUS	COLO-680N	DSMZ
COLO684_ENDOMETRIUM	COLO 684	ECACC
COLO704_OVARY	COLO-704	DSMZ
COLO741_SKIN	COLO 741	ECACC
COLO775_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	COLO 775	ECACC
COLO783_SKIN	COLO-783	DSMZ
COLO792_SKIN	COLO 792	ECACC
COLO800_SKIN	COLO-800	DSMZ
COLO818_SKIN	COLO-818	DSMZ
COLO829_SKIN	COLO 829	ATCC
COLO849_SKIN	COLO-849	DSMZ
CORL105_LUNG	COR-L105	ECACC
CORL23_LUNG	COR-L23	ECACC
CORL24_LUNG	COR-L24	ECACC
CORL279_LUNG	COR-L279	ECACC
CORL311_LUNG	COR-L311	ECACC
CORL47_LUNG	COR-L47	ECACC
CORL51_LUNG	COR-L51	ECACC
CORL88_LUNG	COR-L88	ECACC
CORL95_LUNG	COR-L95	ECACC
COV318_OVARY	COV318	ECACC
COV362_OVARY	COV362	ECACC
COV434_OVARY	COV434	ECACC
COV504_OVARY	COV504	ECACC
COV644_OVARY	COV644	ECACC
CPCN_LUNG	CPC-N	DSMZ
CW2_LARGE_INTESTINE	CW-2	RIKEN
D283MED_CENTRAL_NERVOUS_SYSTEM	D283 Med	ATCC
D341MED_CENTRAL_NERVOUS_SYSTEM	D341 Med	ATCC
DANG_PANCREAS	DAN-G	DSMZ
DAOY_CENTRAL_NERVOUS_SYSTEM	Daoy	ATCC
DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Daudi	ATCC
DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DB	ATCC
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	DBTRG-05MG	ATCC
DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DEL	DSMZ
DETROIT562_UPPER_AERODIGESTIVE_TRACT	Detroit 562	ATCC
DFCI024_LUNG	DFCI024	Academic Lab / Achilles
DKMG_CENTRAL_NERVOUS_SYSTEM	DK-MG	DSMZ
DLD1_LARGE_INTESTINE	DLD-1	ATCC
DM3_PLEURA	DM-3	DSMZ
DMS114_LUNG	DMS 114	ATCC
DMS153_LUNG	DMS 153	ATCC
DMS273_LUNG	DMS 273	ECACC
DMS454_LUNG	DMS 454	ECACC
DMS53_LUNG	DMS 53	ATCC
DMS79_LUNG	DMS 79	ATCC
DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DND-41	DSMZ
DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DOHH-2	DSMZ
DU145_PROSTATE	DU 145	ATCC
DU4475_BREAST	DU4475	ATCC
DV90_LUNG	DV-90	DSMZ
EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EB1	ATCC
EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EB2	ATCC
EBC1_LUNG	EBC-1	RIKEN
ECC10_STOMACH	ECC10	RIKEN
ECC12_STOMACH	ECC12	RIKEN
ECGI10_OESOPHAGUS	EC-GI-10	RIKEN
EFE184_ENDOMETRIUM	EFE-184	DSMZ
EFM192A_BREAST	EFM-192A	DSMZ
EFM19_BREAST	EFM-19	DSMZ
EFO21_OVARY	EFO-21	DSMZ
EFO27_OVARY	EFO-27	DSMZ
EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EHEB	DSMZ
EJM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EJM	DSMZ
EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EM-2	DSMZ
EN_ENDOMETRIUM	EN	DSMZ
EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EOL-1	DSMZ
EPLC272H_LUNG	EPLC-272H	DSMZ
ES2_OVARY	ES-2	ATCC
ESS1_ENDOMETRIUM	ESS-1	DSMZ
EVSAT_BREAST	EVSA-T	DSMZ
EW8_BONE	EW8	Academic Lab / Achilles
EWS502_BONE	EWS502	Academic Lab / Achilles
F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	F-36P	DSMZ
F5_CENTRAL_NERVOUS_SYSTEM	F5	Academic Lab / Achilles
FADU_UPPER_AERODIGESTIVE_TRACT	FaDu	ATCC
FTC133_THYROID	FTC-133	ECACC
FTC238_THYROID	FTC-238	ECACC
FU97_STOMACH	FU97	HSRRB
FUOV1_OVARY	FU-OV-1	DSMZ
G292CLONEA141B1_BONE	G-292, clone A141B1	ATCC
G361_SKIN	G-361	ATCC
G401_SOFT_TISSUE	G-401	ATCC
G402_SOFT_TISSUE	G-402	ATCC
GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	GA-10	ATCC
GAMG_CENTRAL_NERVOUS_SYSTEM	GAMG	DSMZ
GB1_CENTRAL_NERVOUS_SYSTEM	GB-1	HSRRB
GCIY_STOMACH	GCIY	RIKEN
GCT_SOFT_TISSUE	GCT	ATCC
GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	GDM-1	ATCC
GI1_CENTRAL_NERVOUS_SYSTEM	GI-1	RIKEN
GMS10_CENTRAL_NERVOUS_SYSTEM	GMS-10	DSMZ
GOS3_CENTRAL_NERVOUS_SYSTEM	GOS-3	DSMZ
GP2D_LARGE_INTESTINE	GP2d	ECACC
GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	GRANTA-519	DSMZ
GRM_SKIN	GR-M	ECACC
GSS_STOMACH	GSS	RIKEN
GSU_STOMACH	GSU	RIKEN
H4_CENTRAL_NERVOUS_SYSTEM	H4	ATCC
HARA_LUNG	HARA	HSRRB
HCC1143_BREAST	HCC1143	ATCC
HCC1171_LUNG	HCC-1171	KCLB
HCC1187_BREAST	HCC1187	ATCC
HCC1195_LUNG	HCC-1195	KCLB
HCC1359_LUNG	HCC-1359	KCLB
HCC1395_BREAST	HCC1395	ATCC
HCC1419_BREAST	HCC1419	ATCC
HCC1428_BREAST	HCC1428	ATCC
HCC1438_LUNG	HCC-1438	KCLB
HCC1500_BREAST	HCC1500	ATCC
HCC1569_BREAST	HCC1569	ATCC
HCC1588_LUNG	HCC-1588	KCLB
HCC1599_BREAST	HCC1599	ATCC
HCC15_LUNG	HCC-15	DSMZ
HCC1806_BREAST	HCC1806	ATCC
HCC1833_LUNG	HCC-1833	KCLB
HCC1897_LUNG	HCC-1897	Academic Lab / Achilles
HCC1937_BREAST	HCC1937	ATCC
HCC1954_BREAST	HCC1954	ATCC
HCC202_BREAST	HCC202	ATCC
HCC2108_LUNG	HCC-2108	KCLB
HCC2157_BREAST	HCC2157	ATCC
HCC2218_BREAST	HCC2218	ATCC
HCC2279_LUNG	HCC-2279	KCLB
HCC2814_LUNG	HCC-2814	Academic Lab / Achilles
HCC2935_LUNG	HCC2935	ATCC
HCC33_LUNG	HCC-33	DSMZ
HCC364_LUNG	HCC364	Academic Lab / Achilles
HCC366_LUNG	HCC-366	DSMZ
HCC38_BREAST	HCC38	ATCC
HCC4006_LUNG	HCC4006	ATCC
HCC44_LUNG	HCC-44	DSMZ
HCC56_LARGE_INTESTINE	HCC-56	HSRRB
HCC70_BREAST	HCC70	ATCC
HCC78_LUNG	HCC-78	DSMZ
HCC827GR5_LUNG	HCC-827-GR5	Academic Lab / Achilles
HCC827_LUNG	HCC827	ATCC
HCC95_LUNG	HCC-95	KCLB
HCT116_LARGE_INTESTINE	HCT 116	ATCC
HCT15_LARGE_INTESTINE	HCT-15	ATCC
HCT8_LARGE_INTESTINE	HCT-8	KCLB
HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HDLM-2	DSMZ
HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HD-MY-Z	DSMZ
HDQP1_BREAST	HDQ-P1	DSMZ
HEC108_ENDOMETRIUM	HEC-108	HSRRB
HEC151_ENDOMETRIUM	HEC-151	HSRRB
HEC1A_ENDOMETRIUM	HEC-1-A	ATCC
HEC1B_ENDOMETRIUM	HEC-1-B	ATCC
HEC251_ENDOMETRIUM	HEC-251	HSRRB
HEC265_ENDOMETRIUM	HEC-265	HSRRB
HEC50B_ENDOMETRIUM	HEC-50B	HSRRB
HEC59_ENDOMETRIUM	HEC-59	HSRRB
HEC6_ENDOMETRIUM	HEC-6	HSRRB
HEKTE_KIDNEY	HEK TE	Academic Lab / Achilles
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL 92.1.7	ATCC
HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL	DSMZ
HEP3B217_LIVER	Hep 3B2.1-7	ATCC
HEPG2_LIVER	Hep G2	ATCC
HEYA8_OVARY	Hey-A8	Academic Lab
HGC27_STOMACH	HGC-27	ECACC
HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HH	ATCC
HK2_KIDNEY	HK-2	ATCC
HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HL-60	ATCC
HLC1_LUNG	HLC-1	RIKEN
HLE_LIVER	HLE	HSRRB
HLFA_LUNG	HLF-a	ATCC
HLF_LIVER	HLF	HSRRB
HMC18_BREAST	HMC-1-8	HSRRB
